team,attendance,season,opponent,arena,city,state,game_type,team_abb,opponent_abb
Washington Mystics,5723,2018,Minnesota Lynx,Capital One Arena,Washington,DC,Regular season,WAS,MIN
Los Angeles Sparks,11201,2018,Phoenix Mercury,Staples Center,Los Angeles,CA,Regular season,LAS,PHO
Las Vegas Aces,7662,2018,Seattle Storm,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,SEA
Atlanta Dream,3785,2018,Minnesota Lynx,McCamish Pavilion,Atlanta,GA,Regular season,ATL,MIN
New York Liberty,1516,2018,Dallas Wings,Westchester County Center,White Plains,NY,Regular season,NYL,DAL
Seattle Storm,4453,2018,Washington Mystics,KeyArena,Seattle,WA,Regular season,SEA,WAS
Phoenix Mercury,8188,2018,Washington Mystics,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,WAS
Seattle Storm,5235,2018,Las Vegas Aces,KeyArena,Seattle,WA,Regular season,SEA,LVA
Minnesota Lynx,8830,2018,Phoenix Mercury,Target Center,Minneapolis,MN,Regular season,MIN,PHO
Chicago Sky,4131,2018,Connecticut Sun,Wintrust Arena,Chicago,IL,Regular season,CHI,CON
Las Vegas Aces,5575,2018,Washington Mystics,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,WAS
Indiana Fever,5575,2018,New York Liberty,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,NYL
Dallas Wings,5191,2018,Seattle Storm,College Park Center,Arlington,TX,Regular season,DAL,SEA
Atlanta Dream,3796,2018,Phoenix Mercury,McCamish Pavilion,Atlanta,GA,Regular season,ATL,PHO
Washington Mystics,5176,2018,Connecticut Sun,Capital One Arena,Washington,DC,Regular season,WAS,CON
Los Angeles Sparks,13500,2018,Minnesota Lynx,Staples Center,Los Angeles,CA,Regular season,LAS,MIN
Chicago Sky,5052,2018,Las Vegas Aces,Wintrust Arena,Chicago,IL,Regular season,CHI,LVA
New York Liberty,7215,2018,Phoenix Mercury,Madison Square Garden,New York,NY,Regular season,NYL,PHO
Atlanta Dream,2830,2018,Connecticut Sun,McCamish Pavilion,Atlanta,GA,Regular season,ATL,CON
Washington Mystics,8587,2018,Minnesota Lynx,Capital One Arena,Washington,DC,Regular season,WAS,MIN
New York Liberty,1581,2018,Connecticut Sun,Westchester County Center,White Plains,NY,Regular season,NYL,CON
Los Angeles Sparks,9204,2018,Seattle Storm,Staples Center,Los Angeles,CA,Regular season,LAS,SEA
Las Vegas Aces,5913,2018,Atlanta Dream,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,ATL
Indiana Fever,5675,2018,Dallas Wings,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,DAL
Phoenix Mercury,8834,2018,Chicago Sky,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,CHI
Connecticut Sun,6771,2018,Minnesota Lynx,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,MIN
New York Liberty,1537,2018,Indiana Fever,Westchester County Center,White Plains,NY,Regular season,NYL,IND
Los Angeles Sparks,8239,2018,Chicago Sky,Staples Center,Los Angeles,CA,Regular season,LAS,CHI
Phoenix Mercury,8471,2018,Las Vegas Aces,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,LVA
Seattle Storm,6345,2018,Atlanta Dream,KeyArena,Seattle,WA,Regular season,SEA,ATL
Indiana Fever,5437,2018,Las Vegas Aces,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,LVA
Dallas Wings,4026,2018,Phoenix Mercury,College Park Center,Arlington,TX,Regular season,DAL,PHO
Seattle Storm,4353,2018,Chicago Sky,KeyArena,Seattle,WA,Regular season,SEA,CHI
Los Angeles Sparks,9215,2018,Atlanta Dream,Staples Center,Los Angeles,CA,Regular season,LAS,ATL
Connecticut Sun,7696,2018,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,WAS
New York Liberty,1419,2018,Las Vegas Aces,Westchester County Center,White Plains,NY,Regular season,NYL,LVA
Atlanta Dream,6561,2018,Indiana Fever,McCamish Pavilion,Atlanta,GA,Regular season,ATL,IND
Washington Mystics,5289,2018,Los Angeles Sparks,Capital One Arena,Washington,DC,Regular season,WAS,LAS
Dallas Wings,4549,2018,Las Vegas Aces,College Park Center,Arlington,TX,Regular season,DAL,LVA
Seattle Storm,7094,2018,Connecticut Sun,KeyArena,Seattle,WA,Regular season,SEA,CON
Indiana Fever,6234,2018,Atlanta Dream,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,ATL
Minnesota Lynx,9114,2018,New York Liberty,Target Center,Minneapolis,MN,Regular season,MIN,NYL
Phoenix Mercury,12497,2018,Connecticut Sun,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,CON
Chicago Sky,5584,2018,Los Angeles Sparks,Wintrust Arena,Chicago,IL,Regular season,CHI,LAS
Las Vegas Aces,4432,2018,Phoenix Mercury,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,PHO
New York Liberty,1627,2018,Atlanta Dream,Westchester County Center,White Plains,NY,Regular season,NYL,ATL
Washington Mystics,4206,2018,Chicago Sky,Capital One Arena,Washington,DC,Regular season,WAS,CHI
Minnesota Lynx,8023,2018,Dallas Wings,Target Center,Minneapolis,MN,Regular season,MIN,DAL
Seattle Storm,6395,2018,Las Vegas Aces,KeyArena,Seattle,WA,Regular season,SEA,LVA
Los Angeles Sparks,8857,2018,Indiana Fever,Staples Center,Los Angeles,CA,Regular season,LAS,IND
Atlanta Dream,4047,2018,Connecticut Sun,McCamish Pavilion,Atlanta,GA,Regular season,ATL,CON
Dallas Wings,5672,2018,Los Angeles Sparks,College Park Center,Arlington,TX,Regular season,DAL,LAS
Chicago Sky,5831,2018,Washington Mystics,Wintrust Arena,Chicago,IL,Regular season,CHI,WAS
Las Vegas Aces,5478,2018,New York Liberty,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,NYL
Phoenix Mercury,11349,2018,Minnesota Lynx,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,MIN
Seattle Storm,8142,2018,Indiana Fever,KeyArena,Seattle,WA,Regular season,SEA,IND
Dallas Wings,4084,2018,Seattle Storm,College Park Center,Arlington,TX,Regular season,DAL,SEA
Los Angeles Sparks,9203,2018,New York Liberty,Staples Center,Los Angeles,CA,Regular season,LAS,NYL
Indiana Fever,5458,2018,Connecticut Sun,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,CON
Las Vegas Aces,4814,2018,Minnesota Lynx,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,MIN
Chicago Sky,4741,2018,Phoenix Mercury,Wintrust Arena,Chicago,IL,Regular season,CHI,PHO
New York Liberty,1839,2018,Phoenix Mercury,Westchester County Center,White Plains,NY,Regular season,NYL,PHO
Washington Mystics,4139,2018,Connecticut Sun,Capital One Arena,Washington,DC,Regular season,WAS,CON
Minnesota Lynx,8634,2018,Seattle Storm,Target Center,Minneapolis,MN,Regular season,MIN,SEA
Los Angeles Sparks,10002,2018,Dallas Wings,Staples Center,Los Angeles,CA,Regular season,LAS,DAL
Chicago Sky,8521,2018,Atlanta Dream,Wintrust Arena,Chicago,IL,Regular season,CHI,ATL
Connecticut Sun,5112,2018,Indiana Fever,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,IND
Las Vegas Aces,5246,2018,Dallas Wings,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,DAL
Washington Mystics,4473,2018,New York Liberty,Capital One Arena,Washington,DC,Regular season,WAS,NYL
Seattle Storm,8447,2018,Los Angeles Sparks,KeyArena,Seattle,WA,Regular season,SEA,LAS
Indiana Fever,7241,2018,Phoenix Mercury,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,PHO
New York Liberty,1837,2018,Chicago Sky,Westchester County Center,White Plains,NY,Regular season,NYL,CHI
Minnesota Lynx,9209,2018,Atlanta Dream,Target Center,Minneapolis,MN,Regular season,MIN,ATL
Las Vegas Aces,5124,2018,Los Angeles Sparks,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,LAS
Washington Mystics,6218,2018,Phoenix Mercury,Capital One Arena,Washington,DC,Regular season,WAS,PHO
Dallas Wings,4448,2018,Minnesota Lynx,College Park Center,Arlington,TX,Regular season,DAL,MIN
Los Angeles Sparks,12003,2018,Las Vegas Aces,Staples Center,Los Angeles,CA,Regular season,LAS,LVA
Indiana Fever,5277,2018,Atlanta Dream,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,ATL
Chicago Sky,5382,2018,New York Liberty,Wintrust Arena,Chicago,IL,Regular season,CHI,NYL
Seattle Storm,9307,2018,Connecticut Sun,KeyArena,Seattle,WA,Regular season,SEA,CON
New York Liberty,1749,2018,Seattle Storm,Westchester County Center,White Plains,NY,Regular season,NYL,SEA
Dallas Wings,4012,2018,Chicago Sky,College Park Center,Arlington,TX,Regular season,DAL,CHI
Minnesota Lynx,8632,2018,Indiana Fever,Target Center,Minneapolis,MN,Regular season,MIN,IND
Los Angeles Sparks,6280,2018,Connecticut Sun,Staples Center,Los Angeles,CA,Regular season,LAS,CON
Washington Mystics,4674,2018,New York Liberty,Capital One Arena,Washington,DC,Regular season,WAS,NYL
Dallas Wings,4043,2018,Indiana Fever,College Park Center,Arlington,TX,Regular season,DAL,IND
Minnesota Lynx,9303,2018,Los Angeles Sparks,Target Center,Minneapolis,MN,Regular season,MIN,LAS
Las Vegas Aces,4699,2018,Chicago Sky,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,CHI
Phoenix Mercury,8599,2018,Connecticut Sun,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,CON
Atlanta Dream,3935,2018,Seattle Storm,McCamish Pavilion,Atlanta,GA,Regular season,ATL,SEA
Los Angeles Sparks,10163,2018,Washington Mystics,Staples Center,Los Angeles,CA,Regular season,LAS,WAS
Chicago Sky,6139,2018,Minnesota Lynx,Wintrust Arena,Chicago,IL,Regular season,CHI,MIN
Las Vegas Aces,3363,2018,Connecticut Sun,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,CON
Atlanta Dream,3952,2018,Phoenix Mercury,McCamish Pavilion,Atlanta,GA,Regular season,ATL,PHO
New York Liberty,1719,2018,Dallas Wings,Westchester County Center,White Plains,NY,Regular season,NYL,DAL
Seattle Storm,8724,2018,Washington Mystics,KeyArena,Seattle,WA,Regular season,SEA,WAS
Seattle Storm,9686,2018,Los Angeles Sparks,KeyArena,Seattle,WA,Regular season,SEA,LAS
Dallas Wings,4034,2018,Phoenix Mercury,College Park Center,Arlington,TX,Regular season,DAL,PHO
Chicago Sky,7696,2018,Las Vegas Aces,Wintrust Arena,Chicago,IL,Regular season,CHI,LVA
Connecticut Sun,7413,2018,New York Liberty,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,NYL
Washington Mystics,11354,2018,Atlanta Dream,Capital One Arena,Washington,DC,Regular season,WAS,ATL
Indiana Fever,10006,2018,Minnesota Lynx,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,MIN
Los Angeles Sparks,13502,2018,Dallas Wings,Staples Center,Los Angeles,CA,Regular season,LAS,DAL
Atlanta Dream,3807,2018,Indiana Fever,McCamish Pavilion,Atlanta,GA,Regular season,ATL,IND
Connecticut Sun,7696,2018,Phoenix Mercury,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,PHO
Washington Mystics,5858,2018,Chicago Sky,Capital One Arena,Washington,DC,Regular season,WAS,CHI
Minnesota Lynx,9813,2018,Las Vegas Aces,Target Center,Minneapolis,MN,Regular season,MIN,LVA
Seattle Storm,9686,2018,Dallas Wings,KeyArena,Seattle,WA,Regular season,SEA,DAL
Atlanta Dream,3880,2018,Washington Mystics,McCamish Pavilion,Atlanta,GA,Regular season,ATL,WAS
New York Liberty,2073,2018,Chicago Sky,Westchester County Center,White Plains,NY,Regular season,NYL,CHI
Indiana Fever,6302,2018,Phoenix Mercury,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,PHO
Las Vegas Aces,4810,2018,Los Angeles Sparks,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,LAS
Minnesota Lynx,9234,2018,Connecticut Sun,Target Center,Minneapolis,MN,Regular season,MIN,CON
Dallas Wings,6459,2018,New York Liberty,College Park Center,Arlington,TX,Regular season,DAL,NYL
Connecticut Sun,5555,2018,Atlanta Dream,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,ATL
Chicago Sky,10024,2018,Seattle Storm,Wintrust Arena,Chicago,IL,Regular season,CHI,SEA
Minnesota Lynx,17933,2018,Indiana Fever,Target Center,Minneapolis,MN,Regular season,MIN,IND
Atlanta Dream,3074,2018,New York Liberty,McCamish Pavilion,Atlanta,GA,Regular season,ATL,NYL
Dallas Wings,4411,2018,Washington Mystics,College Park Center,Arlington,TX,Regular season,DAL,WAS
Phoenix Mercury,8587,2018,Las Vegas Aces,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,LVA
Connecticut Sun,7908,2018,Seattle Storm,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,SEA
Chicago Sky,4962,2018,Dallas Wings,Wintrust Arena,Chicago,IL,Regular season,CHI,DAL
Los Angeles Sparks,10532,2018,Indiana Fever,Staples Center,Los Angeles,CA,Regular season,LAS,IND
New York Liberty,2005,2018,Washington Mystics,Westchester County Center,White Plains,NY,Regular season,NYL,WAS
Phoenix Mercury,11473,2018,Minnesota Lynx,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,MIN
Atlanta Dream,4916,2018,Seattle Storm,McCamish Pavilion,Atlanta,GA,Regular season,ATL,SEA
Dallas Wings,4935,2018,Connecticut Sun,College Park Center,Arlington,TX,Regular season,DAL,CON
Las Vegas Aces,5368,2018,Indiana Fever,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,IND
Chicago Sky,6477,2018,Los Angeles Sparks,Wintrust Arena,Chicago,IL,Regular season,CHI,LAS
Connecticut Sun,5125,2018,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,WAS
Indiana Fever,5908,2018,Seattle Storm,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,SEA
Minnesota Lynx,9830,2018,New York Liberty,Target Center,Minneapolis,MN,Regular season,MIN,NYL
Los Angeles Sparks,9324,2018,Atlanta Dream,Staples Center,Los Angeles,CA,Regular season,LAS,ATL
Phoenix Mercury,10338,2018,Chicago Sky,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,CHI
Team Delle Donne,15922,2018,Team Parker,Target Center,Minneapolis,MN,All star,EDD,CNP
Atlanta Dream,3648,2018,Washington Mystics,McCamish Pavilion,Atlanta,GA,Regular season,ATL,WAS
Dallas Wings,3696,2018,Chicago Sky,College Park Center,Arlington,TX,Regular season,DAL,CHI
Phoenix Mercury,10005,2018,Seattle Storm,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,SEA
Connecticut Sun,6412,2018,New York Liberty,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,NYL
Las Vegas Aces,5129,2018,Phoenix Mercury,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,PHO
Indiana Fever,5981,2018,Dallas Wings,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,DAL
Los Angeles Sparks,9542,2018,Minnesota Lynx,Staples Center,Los Angeles,CA,Regular season,LAS,MIN
Atlanta Dream,5120,2018,Chicago Sky,McCamish Pavilion,Atlanta,GA,Regular season,ATL,CHI
Seattle Storm,12064,2018,Minnesota Lynx,KeyArena,Seattle,WA,Regular season,SEA,MIN
New York Liberty,2225,2018,Indiana Fever,Westchester County Center,White Plains,NY,Regular season,NYL,IND
Connecticut Sun,6791,2018,Las Vegas Aces,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,LVA
Dallas Wings,5623,2018,Washington Mystics,College Park Center,Arlington,TX,Regular season,DAL,WAS
Los Angeles Sparks,19076,2018,Phoenix Mercury,Staples Center,Los Angeles,CA,Regular season,LAS,PHO
Minnesota Lynx,9333,2018,Atlanta Dream,Target Center,Minneapolis,MN,Regular season,MIN,ATL
New York Liberty,12488,2018,Seattle Storm,Madison Square Garden,New York,NY,Regular season,NYL,SEA
Atlanta Dream,4033,2018,Las Vegas Aces,McCamish Pavilion,Atlanta,GA,Regular season,ATL,LVA
Indiana Fever,6401,2018,Seattle Storm,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,SEA
Chicago Sky,6388,2018,Minnesota Lynx,Wintrust Arena,Chicago,IL,Regular season,CHI,MIN
Phoenix Mercury,7769,2018,Washington Mystics,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,WAS
New York Liberty,2481,2018,Los Angeles Sparks,Westchester County Center,White Plains,NY,Regular season,NYL,LAS
Dallas Wings,3483,2018,Connecticut Sun,College Park Center,Arlington,TX,Regular season,DAL,CON
Washington Mystics,6808,2018,Seattle Storm,Capital One Arena,Washington,DC,Regular season,WAS,SEA
Atlanta Dream,4235,2018,Los Angeles Sparks,McCamish Pavilion,Atlanta,GA,Regular season,ATL,LAS
Las Vegas Aces,4497,2018,Minnesota Lynx,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,MIN
Chicago Sky,5976,2018,Connecticut Sun,Wintrust Arena,Chicago,IL,Regular season,CHI,CON
Phoenix Mercury,8860,2018,Indiana Fever,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,IND
Atlanta Dream,4937,2018,Dallas Wings,McCamish Pavilion,Atlanta,GA,Regular season,ATL,DAL
Las Vegas Aces,5213,2018,Indiana Fever,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,IND
New York Liberty,2362,2018,Atlanta Dream,Westchester County Center,White Plains,NY,Regular season,NYL,ATL
Connecticut Sun,7687,2018,Chicago Sky,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,CHI
Washington Mystics,6362,2018,Dallas Wings,Capital One Arena,Washington,DC,Regular season,WAS,DAL
Phoenix Mercury,10618,2018,Los Angeles Sparks,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,LAS
Minnesota Lynx,9123,2018,Seattle Storm,Target Center,Minneapolis,MN,Regular season,MIN,SEA
Connecticut Sun,6365,2018,Dallas Wings,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,DAL
Minnesota Lynx,9730,2018,Chicago Sky,Target Center,Minneapolis,MN,Regular season,MIN,CHI
Los Angeles Sparks,11067,2018,New York Liberty,Staples Center,Los Angeles,CA,Regular season,LAS,NYL
Indiana Fever,7636,2018,Washington Mystics,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,WAS
Las Vegas Aces,7159,2018,New York Liberty,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,NYL
Connecticut Sun,7089,2018,Minnesota Lynx,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,MIN
Washington Mystics,7400,2018,Los Angeles Sparks,Capital One Arena,Washington,DC,Regular season,WAS,LAS
Dallas Wings,6209,2018,Las Vegas Aces,College Park Center,Arlington,TX,Regular season,DAL,LVA
Phoenix Mercury,11177,2018,Atlanta Dream,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,ATL
Seattle Storm,10873,2018,New York Liberty,KeyArena,Seattle,WA,Regular season,SEA,NYL
Indiana Fever,8442,2018,Chicago Sky,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,CHI
Connecticut Sun,8040,2018,Los Angeles Sparks,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,LAS
Las Vegas Aces,5737,2018,Atlanta Dream,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,ATL
Phoenix Mercury,13106,2018,New York Liberty,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,NYL
Chicago Sky,7118,2018,Indiana Fever,Wintrust Arena,Chicago,IL,Regular season,CHI,IND
Seattle Storm,12574,2018,Dallas Wings,KeyArena,Seattle,WA,Regular season,SEA,DAL
Minnesota Lynx,13013,2018,Washington Mystics,Target Center,Minneapolis,MN,Regular season,MIN,WAS
Phoenix Mercury,4976,2018,Dallas Wings,Wells Fargo Arena ASU,Tempe,AZ,First Round,PHO,DAL
Los Angeles Sparks,8598,2018,Minnesota Lynx,Staples Center,Los Angeles,CA,First Round,LAS,MIN
Washington Mystics,3548,2018,Los Angeles Sparks,Charles Smith Center (GW),Washington,DC,Second Round,WAS,LAS
Connecticut Sun,7858,2018,Phoenix Mercury,Mohegan Sun Arena,Uncasville,CT,Second Round,CON,PHO
Atlanta Dream,5086,2018,Washington Mystics,McCamish Pavilion,Atlanta,GA,Semifinals,ATL,WAS
Seattle Storm,9686,2018,Phoenix Mercury,KeyArena,Seattle,WA,Semifinals,SEA,PHO
Atlanta Dream,3813,2018,Washington Mystics,McCamish Pavilion,Atlanta,GA,Semifinals,ATL,WAS
Seattle Storm,9686,2018,Phoenix Mercury,KeyArena,Seattle,WA,Semifinals,SEA,PHO
Washington Mystics,3867,2018,Atlanta Dream,Charles Smith Center (GW),Washington,DC,Semifinals,WAS,ATL
Phoenix Mercury,15185,2018,Seattle Storm,Talking Stick Resort Arena,Phoenix,AZ,Semifinals,PHO,SEA
Washington Mystics,3722,2018,Atlanta Dream,Charles Smith Center (GW),Washington,DC,Semifinals,WAS,ATL
Phoenix Mercury,8137,2018,Seattle Storm,Talking Stick Resort Arena,Phoenix,AZ,Semifinals,PHO,SEA
Atlanta Dream,4435,2018,Washington Mystics,McCamish Pavilion,Atlanta,GA,Semifinals,ATL,WAS
Seattle Storm,8992,2018,Phoenix Mercury,KeyArena,Seattle,WA,Semifinals,SEA,PHO
Seattle Storm,11486,2018,Washington Mystics,KeyArena,Seattle,WA,Finals,SEA,WAS
Seattle Storm,14212,2018,Washington Mystics,KeyArena,Seattle,WA,Finals,SEA,WAS
Washington Mystics,9164,2018,Seattle Storm,EagleBank Arena,Fairfax,VA,Finals,WAS,SEA
Atlanta Dream,3070,2019,Dallas Wings,State Farm Arena,Atlanta,GA,Regular season,ATL,DAL
New York Liberty,1965,2019,Indiana Fever,Westchester County Center,White Plains,NY,Regular season,NYL,IND
Seattle Storm,8500,2019,Phoenix Mercury,Angel of the Winds Arena,Everett,WA,Regular season,SEA,PHO
Connecticut Sun,7913,2019,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,WAS
Minnesota Lynx,8524,2019,Chicago Sky,Target Center,Minneapolis,MN,Regular season,MIN,CHI
Las Vegas Aces,7249,2019,Los Angeles Sparks,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,LAS
Connecticut Sun,4781,2019,Indiana Fever,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,IND
Minnesota Lynx,8092,2019,Seattle Storm,Target Center,Minneapolis,MN,Regular season,MIN,SEA
Atlanta Dream,2119,2019,Seattle Storm,State Farm Arena,Atlanta,GA,Regular season,ATL,SEA
Phoenix Mercury,14090,2019,Las Vegas Aces,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,LVA
Los Angeles Sparks,12334,2019,Connecticut Sun,Staples Center,Los Angeles,CA,Regular season,LAS,CON
Washington Mystics,4200,2019,Atlanta Dream,Entertainment and Sports Arena,Washington,DC,Regular season,WAS,ATL
Indiana Fever,5003,2019,New York Liberty,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,NYL
Dallas Wings,6535,2019,Minnesota Lynx,College Park Center,Arlington,TX,Regular season,DAL,MIN
Chicago Sky,7063,2019,Seattle Storm,Wintrust Arena,Chicago,IL,Regular season,CHI,SEA
Las Vegas Aces,2747,2019,Connecticut Sun,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,CON
New York Liberty,3579,2019,Los Angeles Sparks,Westchester County Center,New York,NY,Regular season,NYL,LAS
Seattle Storm,5711,2019,Minnesota Lynx,Angel of the Winds Arena,Everett,WA,Regular season,SEA,MIN
Washington Mystics,2347,2019,Chicago Sky,Entertainment and Sports Arena,Washington,DC,Regular season,WAS,CHI
Connecticut Sun,5496,2019,Los Angeles Sparks,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,LAS
Atlanta Dream,2630,2019,Las Vegas Aces,State Farm Arena,Atlanta,GA,Regular season,ATL,LVA
Minnesota Lynx,8001,2019,Phoenix Mercury,Target Center,Minneapolis,MN,Regular season,MIN,PHO
Indiana Fever,3671,2019,Dallas Wings,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,DAL
New York Liberty,1567,2019,Washington Mystics,Westchester County Center,White Plains,NY,Regular season,NYL,WAS
Minnesota Lynx,8834,2019,Los Angeles Sparks,Target Center,Minneapolis,MN,Regular season,MIN,LAS
New York Liberty,1447,2019,Las Vegas Aces,Westchester County Center,White Plains,NY,Regular season,NYL,LVA
Washington Mystics,3564,2019,Dallas Wings,Entertainment and Sports Arena,Washington,DC,Regular season,WAS,DAL
Atlanta Dream,3082,2019,Connecticut Sun,State Farm Arena,Atlanta,GA,Regular season,ATL,CON
Indiana Fever,3336,2019,Phoenix Mercury,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,PHO
Chicago Sky,5032,2019,Seattle Storm,Wintrust Arena,Chicago,IL,Regular season,CHI,SEA
Indiana Fever,3506,2019,Seattle Storm,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,SEA
Connecticut Sun,5224,2019,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,WAS
Chicago Sky,4212,2019,Phoenix Mercury,Wintrust Arena,Chicago,IL,Regular season,CHI,PHO
New York Liberty,1181,2019,Minnesota Lynx,Westchester County Center,White Plains,NY,Regular season,NYL,MIN
Dallas Wings,3562,2019,Indiana Fever,College Park Center,Arlington,TX,Regular season,DAL,IND
Washington Mystics,3654,2019,Seattle Storm,Entertainment and Sports Arena,Washington,DC,Regular season,WAS,SEA
Minnesota Lynx,8803,2019,Connecticut Sun,Target Center,Minneapolis,MN,Regular season,MIN,CON
Phoenix Mercury,10381,2019,Los Angeles Sparks,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,LAS
Las Vegas Aces,4110,2019,New York Liberty,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,NYL
Indiana Fever,4715,2019,Chicago Sky,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,CHI
Dallas Wings,5220,2019,Atlanta Dream,College Park Center,Arlington,TX,Regular season,DAL,ATL
Los Angeles Sparks,11388,2019,New York Liberty,Staples Center,Los Angeles,CA,Regular season,LAS,NYL
Connecticut Sun,7773,2019,Seattle Storm,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,SEA
Minnesota Lynx,8392,2019,Las Vegas Aces,Target Center,Minneapolis,MN,Regular season,MIN,LVA
Los Angeles Sparks,9537,2019,Washington Mystics,Staples Center,Los Angeles,CA,Regular season,LAS,WAS
Atlanta Dream,6474,2019,Indiana Fever,State Farm Arena,Atlanta,GA,Regular season,ATL,IND
New York Liberty,1585,2019,Chicago Sky,Westchester County Center,White Plains,NY,Regular season,NYL,CHI
Dallas Wings,4626,2019,Phoenix Mercury,College Park Center,Arlington,TX,Regular season,DAL,PHO
Las Vegas Aces,4416,2019,Washington Mystics,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,WAS
Connecticut Sun,6608,2019,Atlanta Dream,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,ATL
Chicago Sky,4945,2019,Indiana Fever,Wintrust Arena,Chicago,IL,Regular season,CHI,IND
Seattle Storm,6114,2019,Los Angeles Sparks,Angel of the Winds Arena,Everett,WA,Regular season,SEA,LAS
Minnesota Lynx,8600,2019,New York Liberty,Target Center,Minneapolis,MN,Regular season,MIN,NYL
Las Vegas Aces,4347,2019,Dallas Wings,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,DAL
