Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Shao Ting</strong,MIN,F,5,27,5,0,27,2,10,0.2,0,0,,2,10,0.2,2,3,0.667,2,6,2,0,1,2,6,6
Kristi Toliver</strong,WAS,G,23,678,23,23,678,116,235,0.494,36,100,0.36,80,135,0.593,30,35,0.857,11,67,137,27,2,47,31,298
Morgan Tuck,CON,F,33,352,33,0,352,45,116,0.388,15,42,0.357,30,74,0.405,18,30,0.6,18,66,28,13,3,30,44,123
Brianna Turner</strong,PHO,F,29,462,29,12,462,49,91,0.538,0,0,,49,91,0.538,19,26,0.731,45,120,15,7,21,19,50,117
Yvonne Turner</strong,PHO,G,29,595,29,14,595,59,172,0.343,26,79,0.329,33,93,0.355,43,49,0.878,8,80,67,18,2,59,37,187
Maria Vadeeva</strong,LAS,C,15,180,15,1,180,51,104,0.49,5,16,0.313,46,88,0.523,10,13,0.769,18,58,10,15,3,18,23,117
Courtney Vandersloot</strong,CHI,G,33,991,33,33,991,135,299,0.452,31,107,0.29,104,192,0.542,68,80,0.85,20,143,300,45,15,96,50,369
Ashley Walker</strong,LAS,F-C,3,22,3,0,22,1,11,0.091,0,5,0,1,6,0.167,0,0,,2,3,3,1,0,0,4,2
Shatori Walker-Kimbrough</strong,WAS,G,34,580,34,1,580,76,176,0.432,22,71,0.31,54,105,0.514,53,57,0.93,17,53,42,28,8,34,41,227
Avery Warley-Talbert</strong,NYL,C,3,35,3,0,35,1,5,0.2,0,0,,1,5,0.2,1,2,0.5,3,7,0,0,2,4,7,3
Erica Wheeler</strong,IND,G,34,850,34,34,850,127,298,0.426,48,125,0.384,79,173,0.457,41,47,0.872,5,102,171,40,5,97,74,343
Sami Whitcomb</strong,SEA,G,33,674,33,13,674,82,224,0.366,63,184,0.342,19,40,0.475,11,11,1,17,57,78,36,4,52,49,238
Sydney Wiese</strong,LAS,G,32,659,32,16,659,55,143,0.385,34,93,0.366,21,50,0.42,9,9,1,5,42,57,15,8,32,27,153
Courtney Williams</strong,CON,G,34,988,34,34,988,187,430,0.435,16,35,0.457,171,395,0.433,60,75,0.8,48,189,129,46,13,56,47,450
Elizabeth Williams</strong,ATL,C-F,32,909,32,32,909,107,235,0.455,0,0,,107,235,0.455,82,112,0.732,99,208,37,24,53,41,71,296
Gabby Williams</strong,CHI,F,33,527,33,2,527,75,181,0.414,7,41,0.171,68,140,0.486,29,40,0.725,14,72,68,23,7,55,41,186
Riquna Williams</strong,LAS,G,23,593,23,14,593,93,242,0.384,54,138,0.391,39,104,0.375,44,50,0.88,13,60,37,26,4,28,58,284
A'ja Wilson</strong,LVA,F,26,740,26,25,740,158,330,0.479,0,1,0,158,329,0.48,114,144,0.792,43,168,47,13,45,56,52,430
Tanisha Wright,NYL,G,31,613,31,17,613,54,130,0.415,14,38,0.368,40,92,0.435,25,31,0.806,21,86,126,32,9,57,67,147
Han Xu</strong,NYL,C,18,143,18,0,143,24,58,0.414,5,10,0.5,19,48,0.396,1,2,0.5,2,15,2,3,4,2,6,54
